Angles of attack,[0.0, 10.0, 1.0]
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
naca16018.dat,0.18,0.5,0.640525046207,8.6175,12.1710014358,7.7625,0.0494415868542,5.2425,6.80817949284,5.05647200882,11.8646515017,ok
lwk80150k25.dat,0.15042,0.40245,0.565201458075,9.0,12.8051481489,8.62875,0.039351334976,4.62375,5.39329788427,6.35302462171,11.746322506,ok
s1016.dat,0.17484,0.41848,0.593767347066,9.0,12.7945805705,8.87625,0.0437194335187,4.26375,5.23436775877,5.71828086228,10.9526486211,ok
s1014.dat,0.16508,0.42222,0.581307171504,9.0,12.8313857019,8.87625,0.0422063028984,4.995,4.85600450953,5.92328592727,10.7792904368,ok
e838.dat,0.18368,0.37177,0.51216978428,9.0,10.2355675334,9.0,0.04276330794,1.36125,4.6916022329,5.84613333353,10.5377355664,ok
naca16021.dat,0.21,0.5,0.612306348123,9.0,10.3587375672,8.62875,0.0590288514732,5.625,4.50992057972,4.23521708047,8.74513766019,ok
n66021.dat,0.21,0.45,0.241808570297,9.0,3.9492072594,9.0,0.0639208596296,5.5125,0.80958299215,3.91108632532,4.72066931747,ok
griffith30SymSuction.dat,0.305704,0.49265,0.325397156419,9.0,3.07299047614,9.0,0.10877163599,4.87125,1.33172625901,2.29839330562,3.63011956463,ok
e862.dat,0.32374,0.28467,0.165362625775,7.875,1.30626980614,7.6275,0.0790025207223,1.11375,-0.604127322666,3.16445599095,2.56032866829,ok
e863.dat,0.3573,0.2851,0.112840509489,2.4975,4.03037561734,2.4975,0.0918434558632,1.8675,-1.9579611734,2.72202300807,0.764061834664,ok
e864.dat,0.38826,0.32692,0.0868927240286,1.125,0.755978169808,1.125,0.117068053927,3.25125,-2.53836407894,2.13551000136,-0.402854077576,ok
